Diagnosed Diabetes Est. Percent,Unemployment Rate,Household Median Income,Perc_Adults_LessThanHS,Perc_Adults_HSOnly,Perc_Adults_AssociateSomeCollege,Perc_Adults_BAorHigher,Obesity_Prev_Percent,Leisure_Time_Physical_Inactivity_Perc,Median_Age
8.1,10.6,46141,27.46,27.88,31.952,12.708,27,21.1,36.7
8,6.7,43164,9.674,24.736,37.364,28.226,27.5,16.2,37.4
8.5,24,43327,32.973,22.478,30.592,13.957,28.1,22.4,31.9
9.4,6.8,53350,11.532,31.217,32.759,24.492,23.9,20.2,45.3
8.8,10.4,49812,26.4,27.218,30.717,15.665,31.6,23.6,31
7.2,11.9,51320,27.149,26.41,33.653,12.789,25.9,19.7,31.2
10.3,8.9,40818,16.287,27.824,39.732,16.157,26.3,19.2,45.2
7.8,9.1,49793,18.604,30.897,37.961,12.538,25.7,21.3,37.3
9,8.2,61308,22.282,20.679,26.275,30.764,21.6,18,35.3
7.8,11.2,49467,28.296,25.899,32.675,13.13,26.3,19.6,33.3
6.8,4.3,103488,6.893,11.265,24.76,57.081,18.1,12,45.1
9.5,8.8,51233,10.532,28.353,38.479,22.637,24.8,19.2,50.2
8.3,7,45247,13.459,26.205,36.257,24.079,24.9,17.8,42
8.8,12.8,47442,31.391,25.24,29.707,13.662,26.3,19.3,30.2
10.3,10.3,42890,13.587,27.084,41.059,18.27,23,18.4,47.1
7.2,7,56574,16.001,17.993,35.361,30.645,22.8,16.4,37.2
7.1,9,62999,29.101,20.365,26.885,23.649,24.6,17.2,33.3
8.2,5.7,73112,16.095,18.791,32.068,33.046,23.2,16.9,40.3
8.7,6.5,60501,6.668,19.6,39.33,34.402,21.1,16.7,48.8
7.7,5.5,81642,15.49,17.421,28.641,38.447,19.2,16.3,36.7
7.9,6.3,85326,5.799,19.208,38.091,36.902,20.7,14.8,40.7
9.9,11.5,53646,8.09,23.857,46.114,21.939,23.3,15.7,50.6
9,8.2,59951,19.521,25.889,33.401,21.189,25.8,21.2,34.2
8.7,7.3,59728,13.221,22.403,35.093,29.284,27.6,18.3,35.3
7.6,9.3,73298,21.704,24.637,34.704,18.955,22.8,20,34.8
8.6,8,56194,21.208,26.219,33.257,19.317,27.3,21.3,32.2
7.2,6.4,70693,13.598,18.81,31.097,36.494,20.1,15.5,34.9
7.9,4.4,101873,12.56,12.465,20.182,54.793,18.1,15.2,38.6
10.5,10.5,59038,22.015,26.649,33.173,18.162,28,22.1,33.2
7.6,5.6,69517,9.876,19.368,36.697,34.059,22.9,14.7,39.5
8.8,4.2,107075,11.372,15.946,25.63,47.051,18.7,15.5,39.4
7.3,6.1,66360,19.948,17.893,29.928,32.231,20.5,16.3,33.6
8.1,5.2,110843,12.929,14.769,23.199,49.103,19.7,15.5,36.6
7.5,8.8,75929,13.681,15.476,31.851,38.991,18.2,14.4,36.9
8.4,9.6,46663,10.012,25.456,44.44,20.091,24,19.3,41.9
9.8,10.1,48099,10.962,26.543,42.713,19.782,22.4,17.8,53.5
9.6,11.1,40875,11.433,25.437,40.974,22.156,23.8,18.7,47.3
9.9,7.5,73200,12.502,23.524,38.852,25.122,29.5,19.1,37.2
8,5.6,73496,12.775,19.427,34.731,33.068,20.3,15.5,40.5
9.3,11.2,54060,22.386,28.144,32.95,16.52,30.1,21,33.3
8.5,12.6,51283,20.797,24.401,36.901,17.901,29.7,20.7,35
10.6,9.6,40585,17.092,31.096,38.006,13.806,26.7,25.6,40
10.2,9.4,38727,9.335,32.443,38.156,20.065,24.3,19.3,50
7.1,13.1,45768,31.826,25.359,28.823,13.992,33.4,22.2,30.1
9.2,8.7,50431,10.208,28.623,41.426,19.742,22.1,16.6,48.2
7.9,6.6,79470,16.573,18.763,32.464,32.2,20.7,17.3,36.9
6.9,7.5,63645,14.361,19.23,26.385,40.024,22.9,15.9,31
7.7,11.2,46054,17.844,24.32,42.287,15.548,28,18.6,32.1
7.2,5.7,65442,17.839,28.48,31.314,22.368,27.1,20,32.8
6,7.2,37057,16.17,24.378,33.648,25.804,20.9,16.5,30.8
6.7,4.9,70866,7.682,20.6,30.988,40.73,21.8,16.6,36
6.1,6,51998,8.634,25.606,30.828,34.931,18,14.8,48.8
7.5,2.7,34070,13.746,29.553,34.861,21.84,21.2,18.4,48.1
6.6,5.3,33951,15.764,45.456,29.288,9.492,24.8,22.4,40.9
4,4.1,74772,5.539,12.877,22.272,59.313,13.8,10,35.7
5.7,4.2,86870,3.948,15.049,28.546,52.457,19,12.9,37.4
6,4.4,49877,8.316,26.2,31.072,34.412,18.9,17,48.9
6.9,2.9,50558,9.373,34.014,33.333,23.28,24.2,25.5,36.3
7.8,4.6,68699,3.067,20.343,32.027,44.562,18.9,18,48
6.1,7.8,34390,16.014,31.67,33.976,18.34,23.5,21.3,38.5
7.9,9,27211,23.018,26.35,30.601,20.031,22.1,23.8,50.6
5.7,5.8,35873,17.153,40.407,32.192,10.249,22.5,19.1,39.9
6.9,4.6,52021,8.299,21.821,40.478,29.403,22.1,19.5,57.4
6.6,7,41798,11.989,36.905,31.499,19.606,23.1,19.6,47.1
5.5,4.8,61038,13.639,17.63,23.012,45.719,16.6,12.4,34
7.1,3.9,46791,9.132,38.698,31.886,20.284,19.5,18.3,46.3
5.1,4,112399,2.083,12.29,28.1,57.526,17.5,10.3,37.2
3,4.2,79556,11.182,17.905,25.879,45.035,12.8,10.7,35.1
5.3,4.3,86693,3.583,26.104,37.491,32.822,21.3,18,44.5
6.8,6,63610,6.052,20.556,36.826,36.566,22.5,16.1,33.6
8.8,8.2,46372,11.272,39.2,33.131,16.397,23.5,19.4,43.3
4.7,5.3,69161,13.066,28.699,29.1,29.135,19.5,13.4,35.6
6.2,4.4,65472,2.003,24.306,39.326,34.365,21.2,17.2,43.3
5.4,4,63875,4.275,25.743,32.812,37.171,16.9,13.8,42
4.3,4,53753,4.65,18.136,24.621,52.593,15.3,12.7,34.2
6.9,3.7,51717,5.136,22.825,31.098,40.942,19.9,16.4,57.5
8.4,10,34626,8.664,27.428,37.918,25.991,22.1,21,52.1
6.7,3.6,46671,12.21,37.235,31.483,19.072,21.5,20.4,46.5
5.2,4.5,74342,5.848,20.891,31.041,42.22,18.3,12.9,40.4
7.3,3.3,43951,7.097,35.169,37.5,20.233,20.9,21.9,40.4
7.1,3.1,48272,16.463,38.053,31.653,13.831,27.4,23.9,38.4
5.3,4.6,49064,7.179,33.582,28.325,30.914,19.3,15.9,39
